gene_index_978	pr_gene_id	gene_symbol	signed_log2fc	direction	n_pairs	n_probes	comparison	role
723	5867	RAB4A	0.1192249659	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
724	7866	IFRD2	1.657711004	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
725	25825	BACE2	1.53256589	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
726	4067	LYN	0.9681201213	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
727	51015	ISOC1	0.4854380196	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
728	5891	MOK	0.6674911737	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
729	3300	DNAJB2	-0.08185174303	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
730	64781	CERK	-0.2026701583	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
731	51056	LAP3	0.5864147454	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
732	8550	MAPKAPK5	1.039400223	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
733	50810	HDGFRP3	-0.07661925732	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
734	23011	RAB21	0.6173069832	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
735	11168	PSIP1	0.1437458858	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
736	1385	CREB1	0.3494419643	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
737	10150	MBNL2	0.2486782798	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
738	29763	PACSIN3	0.3212955429	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
739	9112	MTA1	0.889603665	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
740	23499	MACF1	-0.2249153581	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
741	85236	HIST1H2BK	-0.2803929062	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
742	5096	PCCB	0.8616493223	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
743	55620	STAP2	-0.7661248312	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
744	5373	PMM2	0.9997644556	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
745	51170	HSD17B11	-0.9873831998	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
746	54850	FBXL12	0.1087941222	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
747	80349	WDR61	0.889642611	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
749	1062	CENPE	1.967751478	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
750	8804	CREG1	0.8224421276	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
751	80758	PRR7	1.394157424	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
752	375346	TMEM110	0.1791804193	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
753	51385	ZNF589	0.435727874	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
754	55748	CNDP2	0.04925570949	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
755	10318	TNIP1	-0.3749221221	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
757	7905	REEP5	-0.1071054491	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
758	28969	BZW2	1.5656456	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
759	10668	CGRRF1	-0.4370944077	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
760	51005	AMDHD2	0.093640823	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
761	8800	PEX11A	-0.4128999446	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
762	54438	GFOD1	-0.2237414702	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
763	55825	PECR	0.1953939885	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
764	8835	SOCS2	-0.4580182546	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
765	64429	ZDHHC6	0.6736753839	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
766	3682	ITGAE	0.1591104502	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
767	10329	TMEM5	1.319045618	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
768	27109	ATP5S	0.5387732602	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
769	51335	NGRN	0.3302212545	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
770	3202	HOXA5	0.03974253926	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
771	2896	GRN	-0.3051674048	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
772	79902	NUP85	1.288378636	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
773	29083	GTPBP8	0.427878827	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
774	5747	PTK2	0.4830942517	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
775	22905	EPN2	0.0681109656	up	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
776	63933	MCUR1	0.1920428317	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
777	9847	C2CD5	0.1213213082	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
778	51021	MRPS16	0.1754578291	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
779	8996	NOL3	0.5963676823	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
780	7376	NR1H2	-0.0688301279	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
781	5357	PLS1	-0.7310475435	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
782	56940	DUSP22	-0.07918791272	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
783	6195	RPS6KA1	-0.2662024866	down	30	2	tumor_vs_normal	CRC_DISEASE_SIGNATURE
784	1633	DCK	0.7505232405	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
785	23321	TRIM2	0.9648930737	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
786	51160	VPS28	0.0114988924	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
788	2063	NR2F6	-0.3237972608	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
789	54512	EXOSC4	1.098554078	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
790	9124	PDLIM1	-0.3943590708	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
791	79174	CRELD2	0.05572465068	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
792	23223	RRP12	1.71784736	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
793	39	ACAT2	0.8287573682	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
794	57215	THAP11	0.4574648431	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
795	1052	CEBPD	0.0434916843	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
796	23139	MAST2	-0.6483609014	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
797	79947	DHDDS	-0.6935181567	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
798	4616	GADD45B	0.0827148805	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
799	9710	KIAA0355	0.2544470591	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
800	6990	DYNLT3	0.4546902782	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
801	29082	CHMP4A	0.0910730452	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
802	9670	IPO13	0.1055567657	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
803	81533	ITFG1	-0.1369490838	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
804	10525	HYOU1	1.122659484	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
805	2353	FOS	-0.372911984	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
806	57192	MCOLN1	-0.4980148005	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
807	3398	ID2	-0.3704799651	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
808	3775	KCNK1	-0.2496836547	down	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
809	26064	RAI14	0.4407811883	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
810	29103	DNAJC15	0.3238603081	up	30	1	tumor_vs_normal	CRC_DISEASE_SIGNATURE
